No,institution_id,course_id,hyperlink,duration,min_credits,min_pass,pass_bm,pass_history,pass_math,pass_science_tech,pass_math_sci,credit_math_sci_tech,credit_math_sci,credit_english,3m_only,single,no_colorblind,no_disability, monthly_allowance , practical_allowance ,free_hostel,free_meals,tuition_fee,registration_fee,req_academic
48,IKBN-021,IKBN-CET-026,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14525,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
49,IKBN-018,IKBN-CET-027,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=30656,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
50,IKBN-018,IKBN-CET-028,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=30653,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
51,IKBN-015,IKBN-CET-029,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=45421,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
52,IKBN-014,IKBN-CET-032,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=30659,15 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
53,IKBN-011,IKBN-CET-034,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33783,24 Bulan,0,2,1,1,0,0,1,0,0,0,0,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,Pass Math/Science
54,IKBN-013,IKBN-CET-034,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33777,24 Bulan,0,2,1,1,0,0,1,0,0,0,0,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,Pass Math/Science
55,IJTM-004,IJTM-DIP-010,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=9581,36 Bulan,0,4,1,1,1,0,0,0,0,0,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,
56,IJTM-004,IJTM-DIP-017,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=35147,34 Bulan,0,4,1,1,1,0,0,0,0,0,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,
57,IJTM-027,IJTM-DIP-017,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33902,34 Bulan,0,4,1,1,1,0,0,0,0,0,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,
58,IJTM-004,IJTM-DIP-019,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=36797,34 Bulan,0,4,1,1,1,0,0,0,0,0,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,
59,IJTM-027,IJTM-DIP-022,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33893,34 Bulan,0,4,1,1,1,0,0,0,0,0,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,
60,IJTM-026,IJTM-DIP-024,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=10049,36 Bulan,0,4,1,1,1,0,0,0,0,0,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,
61,IJTM-026,IJTM-DIP-026,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=10007,36 Bulan,3,0,1,1,0,0,0,1,0,1,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,Credit Math/Science/Tech
62,IJTM-001,IJTM-DIP-032,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=8718,36 Bulan,3,0,1,1,0,0,0,0,1,0,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,Credit Math/Science
63,IJTM-001,IJTM-DIP-033,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=34568,34 Bulan,3,0,1,1,0,0,0,0,1,0,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,Credit Math/Science
