institution_id,course_id
KKOM-042,KKOM-CET-008
KKOM-048,KKOM-CET-008
KKOM-055,KKOM-CET-008
KKOM-069,KKOM-CET-008
KKOM-076,KKOM-CET-008
KKOM-078,KKOM-CET-008
KKOM-085,KKOM-CET-008
KKOM-099,KKOM-CET-008
KKOM-002,KKOM-CET-009
KKOM-018,KKOM-CET-009
KKOM-025,KKOM-CET-009
KKOM-029,KKOM-CET-009
KKOM-046,KKOM-CET-009
KKOM-052,KKOM-CET-009
KKOM-061,KKOM-CET-009
KKOM-075,KKOM-CET-009
KKOM-081,KKOM-CET-009
KKOM-087,KKOM-CET-009
KKOM-090,KKOM-CET-009
KKOM-062,KKOM-CET-010
KKOM-063,KKOM-CET-010
KKOM-079,KKOM-CET-010
KKOM-028,KKOM-CET-011
KKOM-034,KKOM-CET-011
KKOM-053,KKOM-CET-011
KKOM-064,KKOM-CET-011
KKOM-002,KKOM-CET-012
KKOM-018,KKOM-CET-012
KKOM-025,KKOM-CET-012
KKOM-029,KKOM-CET-012
KKOM-052,KKOM-CET-012
KKOM-061,KKOM-CET-012
KKOM-090,KKOM-CET-012
KKOM-011,KKOM-CET-013
KKOM-018,KKOM-CET-013
KKOM-035,KKOM-CET-013
KKOM-039,KKOM-CET-013
KKOM-055,KKOM-CET-013
KKOM-073,KKOM-CET-013
KKOM-077,KKOM-CET-013
KKOM-004,KKOM-CET-014
KKOM-015,KKOM-CET-014
KKOM-016,KKOM-CET-014
KKOM-030,KKOM-CET-014
KKOM-049,KKOM-CET-014
KKOM-060,KKOM-CET-014
KKOM-066,KKOM-CET-014
KKOM-083,KKOM-CET-014
KKOM-084,KKOM-CET-014
KKOM-089,KKOM-CET-014
KKOM-091,KKOM-CET-014
KKOM-095,KKOM-CET-014
KKOM-005,KKOM-CET-015
KKOM-009,KKOM-CET-016
KKOM-015,KKOM-CET-016
KKOM-017,KKOM-CET-016
KKOM-026,KKOM-CET-016
KKOM-036,KKOM-CET-016
KKOM-039,KKOM-CET-016
KKOM-040,KKOM-CET-016
KKOM-042,KKOM-CET-016
KKOM-053,KKOM-CET-016
